"id","name","region","language","tvg_id","tvg_logo","group_title","stream_url","enabled","last_checked_ok","last_checked_at_utc","last_status","last_error"
"bloomberg_tv_us","Bloomberg TV US","US","English","BloombergTV.us@US","","News","https://bloomberg.com/media-manifest/streams/us.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206",""
"court_tv_us","Court TV","US","English","CourtTV.us@SD","","News","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-courttv-tablo/playlist.m3u8","true","true","2026-05-10T16:20:00Z","200","VLC official sweep: played 1080p official feed"
"gb_news_uk","GB News","UK","English","GBNews.uk@SD","","News","https://amg01076-lightning-amg01076c7-lg-gb-2019.playouts.now.amagi.tv/playlist/amg01076-lightning-gbnews-lggb/playlist.m3u8","true","true","2026-05-10T16:20:00Z","200","VLC official sweep: played 1080p official feed"
"talktv_uk","TalkTV","UK","English","TalkTV.uk@SD","","News","https://live-talktv-ssai.simplestreamcdn.com/v1/master/774d979dd66704abea7c5b62cb34c6815fda0d35/talktv-live/index.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206",""
"create_us","Create","US","English","Create.us@SD","","Documentary","https://create.lls.pbs.org/index.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206",""
"world_channel_us","World Channel","US","English","WorldChannel.us@SD","","Documentary","https://world.lls.pbs.org/index.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206",""
"newsmax_tv_us","Newsmax TV","US","English","NewsmaxTV.us@SD","","News","https://nmx1ota.akamaized.net/hls/live/2107010/Live_1/index.m3u8","true","true","2026-05-07T14:01:49.2105459Z","200",""
"newsmax2_us","Newsmax 2","US","English","Newsmax2.us@SD","","News","https://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8","false","true","2026-05-07T14:01:49.2105459Z","200",""
"cbs_news_us","CBS News","US","English","CBSNews.us","","News","https://cbsnews.akamaized.net/hls/live/2020607/cbsnlineup_8/master.m3u8","true","true","2026-05-07T14:01:49.2105459Z","200",""
"nasa_tv_media_us","NASA TV Media","US","English","NASATVMedia.us","","Science","https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master.m3u8","false","true","2026-05-07T14:01:49.2105459Z","200",""
"forty_eight_hours_us","48 Hours","US","English","48Hours.us@US","","News","https://dai.google.com/linear/hls/event/JUr94WL2QAiVpGNHY5n5dA/master.m3u8","false","true","2026-05-07T14:01:49.2105459Z","200",""
"dateline_247_us","Dateline 24/7","US","English","Dateline247.us@SD","","News","https://d4whmvwm0rdvi.cloudfront.net/10007/99993007/hls/master.m3u8?ads.xumo_channelId=99993007","false","true","2026-05-07T14:01:49.2105459Z","200",""
"nbc_news_now_us","NBC News NOW","US","English","NBCNewsNOW.us@SD","","News","https://d1bl6tskrpq9ze.cloudfront.net/hls/master.m3u8?ads.xumo_channelId=99984003","true","true","2026-05-07T14:01:49.2105459Z","200",""
"nbclx_us","NBCLX","US","English","NBCLX.us@SD","","News","https://nbculocallive.akamaized.net/hls/live/2037096/lx/use1.m3u8","false","true","2026-05-07T14:01:49.2105459Z","200",""
"bloomberg_tv_europe_uk","Bloomberg TV Europe","UK","English","BloombergTV.us@Europe","","News","https://bloomberg.com/media-manifest/streams/eu.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206",""
"bloomberg_originals_global_uk","Bloomberg Originals Global","UK","English","BloombergOriginals.us@SD","","Documentary","https://www.bloomberg.com/media-manifest/streams/originals-global.m3u8","false","true","2026-05-07T14:01:49.2105459Z","206","Removed as UK/PK non-popular or duplicate channel"
"bloomberg_tv_emea_event_uk","Bloomberg TV EMEA Live Event","UK","English","BloombergTV.us@EMEALiveEvent","","News","https://bloomberg.com/media-manifest/streams/eu-event.m3u8","false","false","2026-05-07T14:43:14.0274898Z","206","Failed complete playlist validation"
"afghanistan_international_uk","Afghanistan International","UK","English","AfghanistanInternational.uk@SD","","News","https://hls.afintl.com/hls/stream.m3u8","false","true","2026-05-07T14:01:49.2105459Z","206","Removed as UK/PK non-popular or duplicate channel"
"iran_international_uk","Iran International","UK","English","IranInternational.uk@SD","","News","https://live.livetvstream.co.uk/LS-63503-4/index.m3u8","false","true","2026-05-07T14:01:49.2105459Z","206","Removed as UK/PK non-popular or duplicate channel"
"irane_farda_uk","IraneFarda TV","UK","Persian","IraneFardaTV.uk@SD","","News","https://hls.iranfarda.live/hls/stream.m3u8","false","true","2026-05-07T14:01:49.2105459Z","206","Removed as UK/PK non-popular or duplicate channel"
"cnbc_uk","CNBC UK","UK","English","CNBCUK.uk@SD","","News","https://amg01079-nbcuuk-amg01079c2-lg-gb-2030.playouts.now.amagi.tv/playlist.m3u8","true","true","2026-05-07T14:01:49.2105459Z","206",""
"bbc_four_uk","BBC Four","UK","English","BBCFour.uk@UKHD","","Documentary","https://streamer.nexyl.uk/48559ccd-6400-457d-8acc-06b9e24c2ed8.m3u8","false","false","2026-05-10T15:30:00Z","509","Disabled after VLC test: HTTP 509 and no working replacement found"
"space_live_uk","Space Live","UK","English","SpaceLivepoweredbysen.uk@SD","","Science","https://linear-1224.frequency.stream/dist/lg-uk/1224/hls/master/playlist.m3u8","false","true","2026-05-07T14:01:49.2105459Z","200","Removed as weak UK popular-channel match"
